time_s,LoPE,LaPE,VPE,LoPL_adjusted,LaPL_adjusted,VPL_adjusted
0.00000000,0.04782514,0.05832364,0.03600000,0.83597878,0.28913531,0.86597797
0.09999990,0.00118807,0.00153574,0.03800000,0.73693013,0.22089639,0.86927481
0.19999981,0.00373401,0.00328438,0.03200000,0.71870646,0.22555030,0.85091447
0.30099988,0.00335140,0.00559179,0.03300000,0.73107684,0.22731366,0.83996481
0.40099978,0.00908901,0.00396987,0.02200000,0.77121675,0.22379961,0.82340228
0.50099993,0.00822980,0.00002030,0.01700000,0.72145343,0.22251583,0.83818165
0.60099983,0.00933249,0.00060388,0.01500000,0.74858819,0.23012243,0.79675304
0.70099998,0.00981646,0.00169915,0.01600000,0.77223998,0.22791581,0.84547587
0.80099988,0.00677422,0.00566126,0.01500000,0.72485120,0.23043080,0.82088819
0.90099978,0.00730583,0.00569867,0.00400000,0.71090490,0.22983915,0.78011648
1.00099993,0.01284445,0.00550455,0.00100000,0.78541599,0.23351986,0.78960780
1.10099983,0.01662655,0.00748116,0.00100000,0.79604719,0.24785101,0.78769374
1.20099998,0.01566913,0.00387019,0.00500000,0.78488634,0.23591658,0.79664043
1.30099988,0.01526559,0.00224981,0.01400000,0.78030782,0.22952283,0.79196424
1.40099978,0.01522622,0.00422994,0.01100000,0.77105459,0.22817869,0.78275229
1.50099993,0.01277684,0.00770729,0.01000000,0.78005886,0.24771839,0.78083565
1.60099983,0.00479402,0.00517952,0.01100000,0.72448716,0.22576770,0.78469157
1.70099998,0.00108082,0.00424757,0.01000000,0.71425441,0.22967547,0.78128972
1.80099988,0.00120211,0.00823680,0.00500000,0.70558638,0.24967149,0.74741058
1.90099978,0.00094199,0.00501624,0.01300000,0.69722902,0.23646272,0.73415921
2.00099993,0.00023845,0.00643064,0.01500000,0.67687828,0.22735895,0.73469677
2.10099983,0.00120095,0.00495658,0.02200000,0.68199809,0.22434874,0.76401307
2.20099998,0.00087270,0.00410955,0.02600000,0.69630719,0.22208282,0.75319854
2.30099988,0.00222515,0.00156484,0.02200000,0.70709385,0.21615641,0.73749732
2.40099978,0.00362269,0.00503152,0.01600000,0.73923340,0.21885013,0.71061412
2.50099993,0.00055505,0.00349456,0.01400000,0.75359225,0.22167124,0.71946232
2.60099983,0.00459923,0.00130272,0.01200000,0.72223275,0.22030813,0.72471186
2.70099998,0.00343337,0.00058480,0.00500000,0.69382046,0.21602800,0.74123997
2.80099988,0.00785483,0.00189781,0.00700000,0.67128464,0.20943610,0.74313490
2.90199995,0.00815019,0.00555197,0.00500000,0.66314499,0.20602437,0.73232905
3.00199986,0.00422765,0.01189651,0.01300000,0.63186941,0.22995251,0.72855781
3.10200000,0.00297943,0.00726450,0.00300000,0.62332595,0.20847059,0.72170899
3.20199990,0.00601846,0.00949832,0.00400000,0.62981390,0.21909258,0.71923687
3.30199981,0.00578113,0.00838264,0.00600000,0.68040305,0.21889560,0.74460271
3.40199995,0.00477584,0.00566051,0.00100000,0.67718790,0.20905903,0.75300340
3.50199986,0.00947546,0.00638009,0.00200000,0.69352306,0.21224916,0.79904177
3.60200000,0.01183178,0.00500191,0.00300000,0.74402810,0.20865308,0.75518059
3.70199990,0.00648211,0.00048187,0.00000000,0.70514125,0.20098149,0.76774083
3.80199981,0.00649428,0.00086853,0.00200000,0.67221856,0.20796860,0.73980825
3.90199995,0.00438126,0.00129791,0.00100000,0.65194593,0.21257358,0.77529256
4.00199986,0.01353204,0.00310061,0.01100000,0.69542322,0.21824381,0.76878481
4.10200000,0.02178135,0.00371924,0.01800000,0.66531489,0.21467826,0.74019567
4.20199990,0.01833475,0.00558006,0.01700000,0.65857348,0.21270391,0.74454638
4.30199981,0.02238175,0.00472834,0.01800000,0.65894544,0.20677644,0.74438479
4.40199995,0.01647411,0.00577439,0.01900000,0.68908411,0.21260633,0.73965108
4.50199986,0.00866210,0.00561855,0.01500000,0.63297085,0.20957747,0.75357650
4.60200000,0.02182956,0.00869483,0.02000000,0.67891512,0.21424005,0.79958549
4.70199990,0.02771297,0.00849242,0.02100000,0.71045212,0.21937043,0.79928453
4.80199981,0.02714580,0.00785847,0.02200000,0.74030379,0.22475483,0.81313897
4.90199995,0.01817170,0.00522585,0.02400000,0.70977736,0.21655621,0.83564472
5.00199986,0.00822926,0.00890670,0.02500000,0.67818778,0.22084578,0.83988183
5.10200000,0.00552398,0.01091356,0.02500000,0.66822343,0.23250954,0.83974079
5.20199990,0.00317478,0.01218568,0.02700000,0.69025840,0.23173816,0.84851510
5.30199981,0.00842102,0.01197399,0.02800000,0.68743687,0.22824870,0.84972205
5.40199995,0.01408287,0.00953535,0.03000000,0.71299182,0.22395111,0.87624968
5.50299978,0.01553249,0.00726580,0.02700000,0.69540134,0.22511081,0.83697413
5.60299993,0.01212602,0.00822797,0.02400000,0.67237881,0.22811903,0.83787958
5.70299983,0.01199323,0.01042412,0.02500000,0.67948718,0.23485369,0.83802551
5.80299997,0.00817643,0.01641176,0.01600000,0.65154659,0.23995135,0.75101005
5.90299988,0.00826046,0.01965617,0.02800000,0.65506500,0.24895114,0.81533919
6.00299978,0.00660005,0.01772821,0.03400000,0.65429960,0.25517200,0.83574474
6.10299993,0.00750593,0.01961915,0.04200000,0.67352764,0.25193071,0.84080614
6.20299983,0.00390607,0.01864679,0.03500000,0.67254884,0.25052777,0.83441742
6.30299997,0.00665820,0.02037936,0.03100000,0.68623312,0.25283593,0.84123238
6.40299988,0.00653291,0.01977805,0.03900000,0.63791566,0.24614510,0.82970023
6.50299978,0.00875773,0.01673297,0.04000000,0.63667389,0.24647801,0.81982587
6.60299993,0.01059778,0.01297602,0.03200000,0.65333274,0.24278127,0.77095182
6.70299983,0.01150740,0.01499599,0.02400000,0.65361585,0.24133421,0.79861674
6.80299997,0.01525994,0.02199305,0.00100000,0.71250823,0.24073933,0.71827978
6.90299988,0.01857164,0.02978362,0.00000000,0.72514456,0.25138437,0.74301828
7.00299978,0.00603769,0.02847800,0.00000000,0.70086653,0.22687081,0.73927537
7.10299993,0.00833720,0.02441907,0.00800000,0.73255442,0.22375261,0.73615865
7.20299983,0.00751525,0.01901634,0.00900000,0.74201498,0.21839575,0.75299632
7.30299997,0.01224838,0.01601740,0.00800000,0.76151791,0.21873385,0.75941130
7.40299988,0.01482619,0.01672585,0.00800000,0.77069516,0.22205935,0.75262698
7.50299978,0.00723034,0.02496842,0.00300000,0.71562210,0.23071619,0.77203620
7.60299993,0.00530180,0.03606301,0.00400000,0.71415099,0.26263667,0.75709027
7.70299983,0.00685099,0.04041317,0.00600000,0.72424169,0.25733422,0.79224542
7.80299997,0.01519014,0.03601777,0.00600000,0.74775713,0.23995561,0.80688727
7.90299988,0.01367810,0.02652979,0.00200000,0.74847214,0.22317873,0.81935630
8.00299978,0.00762209,0.02317981,0.00100000,0.70934720,0.22243935,0.80309754
8.10399985,0.00170802,0.03074886,0.00700000,0.73843408,0.22576510,0.79895576
8.20400000,0.00088926,0.03676818,0.01400000,0.74828902,0.23170472,0.78284974
8.30399990,0.00085481,0.04018407,0.01500000,0.75032060,0.24658061,0.79600140
8.40399981,0.00193059,0.04067140,0.01700000,0.76642888,0.24482638,0.86172571
8.50399995,0.00414326,0.03986368,0.01300000,0.80091231,0.22883092,0.78884631
8.60399985,0.00856754,0.04612166,0.00500000,0.78216665,0.25043848,0.78447301
8.70400000,0.00804891,0.05222523,0.00300000,0.78342067,0.25801668,0.77471968
8.80399990,0.00566486,0.05107445,0.00300000,0.79368000,0.24751243,0.79527750
8.90399981,0.00676026,0.05603203,0.00300000,0.79112492,0.25296080,0.82036656
9.00399995,0.00629798,0.04059194,0.00300000,0.76625335,0.23018514,0.80068695
9.10399985,0.00662426,0.03667928,0.00400000,0.79334623,0.22050144,0.80341768
9.20400000,0.00600180,0.03657511,0.00400000,0.78394280,0.21938936,0.82691614
9.30399990,0.00482515,0.03977886,0.01100000,0.78653044,0.21492208,0.83916767
9.40399981,0.00581934,0.04641622,0.01010000,0.79427571,0.23221619,0.82627702
9.50399995,0.00456812,0.04588793,0.01200000,0.82357312,0.23545163,0.80912285
9.60399985,0.00625388,0.04375533,0.00300000,0.82073001,0.21080359,0.80230619
9.70400000,0.00701785,0.04713438,0.00300000,0.78893176,0.22274324,0.82166866
9.80399990,0.00681969,0.04612301,0.00200000,0.81977571,0.21430280,0.81992118
9.90399981,0.00448043,0.04603060,0.00200000,0.80932609,0.22089065,0.81581630
10.00399995,0.00144513,0.04439495,0.00000000,0.82199217,0.23069020,0.81477617
10.10399985,0.00261772,0.04430494,0.00200000,0.80722044,0.23562842,0.81663499
10.20400000,0.00841214,0.04729826,0.00300000,0.85551762,0.23510548,0.86534000
10.30399990,0.01247407,0.04689240,0.00400000,0.87224262,0.23608636,0.87353156
10.40399981,0.01070046,0.04349621,0.00200000,0.89510212,0.23994342,0.85593829
10.50399995,0.00522910,0.04437101,0.01000000,0.85072106,0.23359475,0.90743340
10.60399985,0.00795160,0.04241005,0.01100000,0.87762676,0.22921329,0.87625945
10.70400000,0.00889551,0.04406586,0.01300000,0.88490535,0.23442871,0.88265336
10.80499983,0.00149745,0.04121902,0.02300000,0.81080001,0.23394686,0.91296373
10.90499997,0.00409436,0.03038892,0.02300000,0.82265700,0.22206698,0.91011433
11.00499988,0.00807725,0.04883910,0.02300000,0.85044776,0.25880171,0.88221777
11.10499978,0.00893512,0.05248241,0.02600000,0.85078340,0.26212753,0.91492924
11.20499992,0.00753303,0.03733930,0.03000000,0.79954889,0.23613743,0.91631647
11.30499983,0.00752425,0.03928111,0.03400000,0.79943333,0.23115745,0.92603065
11.40499997,0.00945522,0.03213112,0.03200000,0.80021309,0.22959479,0.92972569
11.50499988,0.00693924,0.04581809,0.03100000,0.72047316,0.25303484,0.88685971
11.60499978,0.00655799,0.04846527,0.03400000,0.72304090,0.27348669,0.89228429
11.70499992,0.00754503,0.03703475,0.04000000,0.74003987,0.23938023,0.91378255
11.80499983,0.00870093,0.03841059,0.04600000,0.77616380,0.23633683,0.94463475
11.90499997,0.00832041,0.03385884,0.04500000,0.75421019,0.24464563,0.93026837
12.00499988,0.00494170,0.04705720,0.03400000,0.71312186,0.27822582,0.90082108
12.10499978,0.00512713,0.04899758,0.02800000,0.72619076,0.26591159,0.89462464
12.20499992,0.00784979,0.02398647,0.03700000,0.75176993,0.23952973,0.89018834
12.30499983,0.00984838,0.05094330,0.03000000,0.78840296,0.28377699,0.87830693
12.40499997,0.00671473,0.02526742,0.01900000,0.72617447,0.25247289,0.86871453
12.50499988,0.00744859,0.04993815,0.01400000,0.76080263,0.29050731,0.80762269
12.60499978,0.00734853,0.05532539,0.00800000,0.74597689,0.29918507,0.83785780
12.70499992,0.00916566,0.01689380,0.00900000,0.75313692,0.25129446,0.84188777
12.80499983,0.00591588,0.06187546,0.00300000,0.74001773,0.31402845,0.82376880
12.90499997,0.00286340,0.01769325,0.00700000,0.70329518,0.25717136,0.81131104
13.00499988,0.00418048,0.05815302,0.01800000,0.70848873,0.30175280,0.86284164
13.10499978,0.00255448,0.05642052,0.01100000,0.69043361,0.28747195,0.81337143
13.20499992,0.00161748,0.01786068,0.00000000,0.69406018,0.24342282,0.79971339
13.30499983,0.00489986,0.05840695,0.01000000,0.66862534,0.28495588,0.79097520
13.40499997,0.00892015,0.02257877,0.01200000,0.71238134,0.23696724,0.79788038
13.50599980,0.00788684,0.02497474,0.01000000,0.72618129,0.23393824,0.80003202
13.60599995,0.00305936,0.02387552,0.01000000,0.67570504,0.23296127,0.76916283
13.70599985,0.00316196,0.02027023,0.00800000,0.66698586,0.22535530,0.79248353
13.80599999,0.00349483,0.02136086,0.00400000,0.65379835,0.22033427,0.79520595
13.90599990,0.00036161,0.01919764,0.00200000,0.65467906,0.22278121,0.79996844
14.00599980,0.00423439,0.02056818,0.00700000,0.63966554,0.22978485,0.79202960
14.10599995,0.00603573,0.02371455,0.01300000,0.66479985,0.23390177,0.80102850
14.20599985,0.00793371,0.02689510,0.01000000,0.70297659,0.23563924,0.80564002
14.30599999,0.00998930,0.02659594,0.00700000,0.73386377,0.24286707,0.82558530
14.40599990,0.00883324,0.01982987,0.01100000,0.75387426,0.23831549,0.83934295
14.50599980,0.00708505,0.01402577,0.01300000,0.68875920,0.23364407,0.83620413
14.60599995,0.00805595,0.01374269,0.00900000,0.71802412,0.21992021,0.84891710
14.70599985,0.00616896,0.01847279,0.00300000,0.70857708,0.22339497,0.82966445
14.80599999,0.00493659,0.02345379,0.00100000,0.70696373,0.23633773,0.81619731
14.90599990,0.00204811,0.02181869,0.00200000,0.72283297,0.24155818,0.79533200
15.00599980,0.00001735,0.01645599,0.00200000,0.69400004,0.23257587,0.78066123
