time_s,LoPE,LaPE,VPE,LoPL_adjusted,LaPL_adjusted,VPL_adjusted
0.00000000,0.00473538,0.07051522,0.02680000,0.75739360,0.30796070,0.83911248
0.10000014,0.02734946,0.00821263,0.03190000,0.81103712,0.22768851,0.84604905
0.20099998,0.00164755,0.02917011,0.00810000,0.72371619,0.26223252,0.76901193
0.30100012,0.00455131,0.01372354,0.00800000,0.73852080,0.23514290,0.75889239
0.40100002,0.00210248,0.01194276,0.01710000,0.72711932,0.23117873,0.76187501
0.50100017,0.00540933,0.00748059,0.01600000,0.72625481,0.22932607,0.78095133
0.60100007,0.01544585,0.00034022,0.01990000,0.76248958,0.22979376,0.79040450
0.70099998,0.01422837,0.00395013,0.02790000,0.78351708,0.22984525,0.84612008
0.80100012,0.00669594,0.00487077,0.03100000,0.73310452,0.22917703,0.82652805
0.90100002,0.00430180,0.00555108,0.03290000,0.71635430,0.22912034,0.84281394
1.00100017,0.00938981,0.00863026,0.03500000,0.79001958,0.23528328,0.85766422
1.10100007,0.01634816,0.00810788,0.03400000,0.80394969,0.23429140,0.85584643
1.20099998,0.01910448,0.00365498,0.03390000,0.79823855,0.23428583,0.86177972
1.30100012,0.01827075,0.00339846,0.03000000,0.79433022,0.22919242,0.84639284
1.40100002,0.01587215,0.00040584,0.02700000,0.78336312,0.22345913,0.83641606
1.50200009,0.01320674,0.00028655,0.02800000,0.79154100,0.22689855,0.83535806
1.60200000,0.00753248,0.00332291,0.02700000,0.73825590,0.22292880,0.83639906
1.70200014,0.00900764,0.00434310,0.02200000,0.77784739,0.22847748,0.78362070
1.80200005,0.01148301,0.00581297,0.01500000,0.77172244,0.23331212,0.74737699
1.90200019,0.01386923,0.00854251,0.01290000,0.76610567,0.23845363,0.72436273
2.00200009,0.01239168,0.00959668,0.00700000,0.74598422,0.22931225,0.71685189
2.10200000,0.00476061,0.00799166,0.00600000,0.69824427,0.22631316,0.69368808
2.20200014,0.00180498,0.00785761,0.00600000,0.70936261,0.22508758,0.67869199
2.30200005,0.00644887,0.00581481,0.00500000,0.72258245,0.22003937,0.66498516
2.40200019,0.00164279,0.00201029,0.00400000,0.74758131,0.21654621,0.68621365
2.50200009,0.00035217,0.00359527,0.00200000,0.76187684,0.22219911,0.69482456
2.60200000,0.00270168,0.00759940,0.00500000,0.72993155,0.22674141,0.70447062
2.70200014,0.00219630,0.01169172,0.00200000,0.70264054,0.22715652,0.72438607
2.80299997,0.00040433,0.01725475,0.00890000,0.67498408,0.22482853,0.73090133
2.90300012,0.00190572,0.02490017,0.01000000,0.66755510,0.23799778,0.72393370
3.00300002,0.00412388,0.02524368,0.00700000,0.64320780,0.24392318,0.71144918
3.10300016,0.00689522,0.02564051,0.01090000,0.63940842,0.24018327,0.71803942
3.20300007,0.00640861,0.02499860,0.00700000,0.64257958,0.23590180,0.71145157
3.30299997,0.00274892,0.02517466,0.01800000,0.68674814,0.23720490,0.74461952
3.40300012,0.00057959,0.02096650,0.02600000,0.68178569,0.23903382,0.76457355
3.50300002,0.00236425,0.01960536,0.02600000,0.69409357,0.24056418,0.80908387
3.60300016,0.00108574,0.01587297,0.01200000,0.69556744,0.22231606,0.75332636
3.70300007,0.00651357,0.01860170,0.02100000,0.70988420,0.23373544,0.77643503
3.80299997,0.01108104,0.02173961,0.01990000,0.72748546,0.24300409,0.74632586
3.90300012,0.00932773,0.02625021,0.02500000,0.66283261,0.25086744,0.78597158
4.00300002,0.00402454,0.02430336,0.01300000,0.64891948,0.25297381,0.75926266
4.10400009,0.00282911,0.02495929,0.02100000,0.61218003,0.24944037,0.73218639
4.20400000,0.00409777,0.02429112,0.03190000,0.60988144,0.24504046,0.74709426
4.30400014,0.00378657,0.02083703,0.03690000,0.60654267,0.23663588,0.79452522
4.40400004,0.00324393,0.01115916,0.02400000,0.64050701,0.22013811,0.73186910
4.50400019,0.00166753,0.01086045,0.02700000,0.63580767,0.21701175,0.75179853
4.60400009,0.00590349,0.00973390,0.02900000,0.62943937,0.21781314,0.75037136
4.70400000,0.01141124,0.00865526,0.03510000,0.70331461,0.22198975,0.75464258
4.80400014,0.01248001,0.01248877,0.03700000,0.73309490,0.23126547,0.81401230
4.90400004,0.00982517,0.01896064,0.03690000,0.70947598,0.23138751,0.83445765
5.00400019,0.00807493,0.01804898,0.03500000,0.68496052,0.23150492,0.79132334
5.10400009,0.00780720,0.02319521,0.03790000,0.67839515,0.25829192,0.79391508
5.20400000,0.00910718,0.02589439,0.04490000,0.74806359,0.25874104,0.85198709
5.30400014,0.01041148,0.02661524,0.04500000,0.74288437,0.25602386,0.85244011
5.40499997,0.00574772,0.02579096,0.04600000,0.67240020,0.25309011,0.87842733
5.50500011,0.00511627,0.02718536,0.04490000,0.65479087,0.25739753,0.84225602
5.60500002,0.00607105,0.03054247,0.05100000,0.63755914,0.26243568,0.85131266
5.70500016,0.00965325,0.02618978,0.05200000,0.69322456,0.26305484,0.85069343
5.80500007,0.00752887,0.01909676,0.05300000,0.66652927,0.24348787,0.81799217
5.90499997,0.00503635,0.00932122,0.04800000,0.66830801,0.24034160,0.82209130
6.00500011,0.00888995,0.00258242,0.05300000,0.71724583,0.24175624,0.84141494
6.10500002,0.01708209,0.00064194,0.05410000,0.74133907,0.23482729,0.84124645
6.20500016,0.01700094,0.00592099,0.05500000,0.74415710,0.23844424,0.84212683
6.30500007,0.01488751,0.01247887,0.04900000,0.75443948,0.24466229,0.84710700
6.40499997,0.00941379,0.01453481,0.04700000,0.70525957,0.24007054,0.78207141
6.50500011,0.00913402,0.01102042,0.04200000,0.70266905,0.23982747,0.76698094
6.60500002,0.01366946,0.01159163,0.04700000,0.72103630,0.24028257,0.72973060
6.70500016,0.01365146,0.01351028,0.05200000,0.72054014,0.23915111,0.81338928
6.80500007,0.00929948,0.01740401,0.05000000,0.72603928,0.23621810,0.79710194
6.90600014,0.00969302,0.01640199,0.04200000,0.73474462,0.22636639,0.77045124
7.00600004,0.00951649,0.01732300,0.04090000,0.76393295,0.21682792,0.76583750
7.10600019,0.01046764,0.01573145,0.03500000,0.79132877,0.21607258,0.75045342
7.20600009,0.01022701,0.02096517,0.03890000,0.79923373,0.23332755,0.77057358
7.30599999,0.01212387,0.02421842,0.04200000,0.77208921,0.23949028,0.78151320
7.40600014,0.00986259,0.02548527,0.04100000,0.77580202,0.24348713,0.77561893
7.50600004,0.00804628,0.02482715,0.03990000,0.72535787,0.24430541,0.79894740
7.60600019,0.00467803,0.02055447,0.03900000,0.72260610,0.24939638,0.78171519
7.70600009,0.00519330,0.02003072,0.03690000,0.73134545,0.24011321,0.81259400
7.80599999,0.00462803,0.01876916,0.03700000,0.70272983,0.23851965,0.82782443
7.90700006,0.00022741,0.02349017,0.04100000,0.69996999,0.23435459,0.84811259
8.00699997,0.00120375,0.02427243,0.03690000,0.71065231,0.23661328,0.83022459
8.10700011,0.00295542,0.03053843,0.05190000,0.74484491,0.23812063,0.87999986
8.20700002,0.00355310,0.03243679,0.05290000,0.75538910,0.23956335,0.85893827
8.30700016,0.00556995,0.03266459,0.04990000,0.75916581,0.23834142,0.82352071
8.40700006,0.00253677,0.02774914,0.05190000,0.77084624,0.23164564,0.88896114
8.50699997,0.00335668,0.01926065,0.05290000,0.80244973,0.22149971,0.86580890
8.60700011,0.00719465,0.01670590,0.05290000,0.78511902,0.20916834,0.86855593
8.70700002,0.00900773,0.01566240,0.05690000,0.78918861,0.20960933,0.86424875
8.80700016,0.00404097,0.01440002,0.05390000,0.79655831,0.19850591,0.88164079
8.90700006,0.00054575,0.01072764,0.04700000,0.79005285,0.19567899,0.85443058
9.00699997,0.00768041,0.00479701,0.04500000,0.77325136,0.19347760,0.83242352
9.10700011,0.01152849,0.00324867,0.04400000,0.80213336,0.18582862,0.83326978
9.20700002,0.00735584,0.00370831,0.03810000,0.79001752,0.18509000,0.85098242
9.30800009,0.00713061,0.00304210,0.03700000,0.79411942,0.17699911,0.85503846
9.40799999,0.00707367,0.00696873,0.03610000,0.80140889,0.17925443,0.84152920
9.50800014,0.00780396,0.00609821,0.02900000,0.83101245,0.18229280,0.81573526
9.60800004,0.00753620,0.00205079,0.02900000,0.82667007,0.16913571,0.81611143
9.70800018,0.00843541,0.00028965,0.02600000,0.79594751,0.16400421,0.83238595
9.80800009,0.00782862,0.00631448,0.02900000,0.82483570,0.17458521,0.83415396
9.90799999,0.01016421,0.01044121,0.02610000,0.81904823,0.18483279,0.82744128
10.00800014,0.01520672,0.01212459,0.03110000,0.88309051,0.19740984,0.83261621
10.10800004,0.01514315,0.00918286,0.03910000,0.86884687,0.19975165,0.83907510
10.20800018,0.01331188,0.00747889,0.04100000,0.86638480,0.19544518,0.88700497
10.30800009,0.01052851,0.01073641,0.03400000,0.87633888,0.19974158,0.88716251
10.40799999,0.00681787,0.00842001,0.03600000,0.85145784,0.20421851,0.87339347
10.50800014,0.00423449,0.00794412,0.03710000,0.85425604,0.19714439,0.91793322
